Band start [cm-1],Band end [cm-1],Type,Information,Description,Reference
1660,1660,min,"Carbonates, clay","Asymmetric stretching of O-C-O in carbonate and 2:1 clays, e.g., Montmorillonite","Grinand et al., 2012"
1670,1670,org,Protein amide,Organic carbon Protein amide -NH,"Soriano-Disla et al., 2014"
1700,2000,min,Quartz overtones,Quartz overtones,"Calderón et al., 2013"
1700,1775,org,C=O,C=O strechting,"Tinti et al., 2015"
1720,1720,org,Carboxylic acid,Carboxylic acid COOH,"Soriano-Disla et al., 2014"
1730,1730,org,Carboxylic band,Caboxylic band (not visible in forest soils),"Haberhauer et al., 1998"
1790,2000,min,Quartz,Si-O vibration of quartz (overtone/combination),"Tinti et al., 2015"
1796,1796,min,Carbonates,Carbonates,"Asgari et al., 2020"
1796,1796,min,"Quartz, Kaolinite",Quartz and Kaolinite,"Jović et al., 2019"
1800,1800,min,Carbonates,Carbonates,"Grinand et al., 2012"
1800,1800,min,Calcite,Overtone / combined band of Calcite,"Tinti et al., 2015"
1872,1872,min,"Quartz, Kaolinite",Quartz and Kaolinite,"Jović et al., 2019"
1880,1880,min,Quartz,"Quartz, negative correlation to SOC","Grinand et al., 2012"
1976,1976,min,"Quartz, Kaolinite",Quartz and Kaolinite,"Jović et al., 2019"
2000,2200,org,Aliphatic aldehydes,Overtones of R-COH stretching in aliphates,"Calderón et al., 2013"
2150,2150,min,Carbonates,Carbonates,"Asgari et al., 2020"
2480,2562,min,Carbonate,Overtone / combined band of Calcite and Aragonite,"Tinti et al., 2015"
2510,2510,min,Carbonates,Carbonates,"Asgari et al., 2020"
2517,2517,min,Carbonate calcite,Carbonate calcite,"Jović et al., 2019"
2520,2520,min,Carbonates,Carbonates,"Soriano-Disla et al., 2014"
2520,2520,min,Carbonates,Carbonates,"Grinand et al., 2012"
2592,2592,min,Calcite,Overtone / combined band of Calcite,"Tinti et al., 2015"
2627,2627,min,Aragonite,Overtone / combined band of Aragonite,"Tinti et al., 2015"
2700,3600,org,High Variable importance for SOC,Generally high variable importance for SOC,"Grinand et al., 2012"
2730,2730,org,Petrolium CH3,Petrolium contaminated soil CH3 deformation,"Parikh et al., 2014"
2800,3000,org,Aliphates,Aliphatic C-H stretching,"Margenot et al., 2016"
2800,3800,min,Phyllosilicates,Distinction between allophane and imogolite by O-H stretching,"Margenot et al., 2016"
2800,3010,org,Aliphatic CH,Aliphatic CH stretching,"Tinti et al., 2015."
